DCO,DEV,SENS,Volume_DEV
7/18/2022,CAD,Achat,15492.08
7/18/2022,CAD,Achat,32.07
7/19/2022,CAD,Achat,45832.50
7/19/2022,CAD,Achat,13131.86
7/19/2022,CAD,Achat,239.23
7/20/2022,CAD,Achat,9247.00
7/20/2022,CAD,Achat,32479.81
7/20/2022,CAD,Achat,912.03
7/21/2022,CAD,Achat,11284.00
7/21/2022,CAD,Achat,4730.47
7/21/2022,CAD,Achat,14.93
7/22/2022,CAD,Achat,30992.50
7/22/2022,CAD,Achat,20861.84
7/22/2022,CAD,Achat,89.36
7/26/2022,CAD,Achat,67798.50
7/26/2022,CAD,Achat,22555.18
7/26/2022,CAD,Achat,122.14
7/27/2022,CAD,Achat,67830.00
7/27/2022,CAD,Achat,26130.41
7/27/2022,CAD,Achat,237.25
7/28/2022,CAD,Achat,28553.00
7/28/2022,CAD,Achat,11536.56
7/28/2022,CAD,Achat,148.62
7/29/2022,CAD,Achat,14728.00
7/29/2022,CAD,Achat,23237.14
7/29/2022,CAD,Achat,190.88
8/1/2022,CAD,Achat,30653.00
8/1/2022,CAD,Achat,14577.59
8/1/2022,CAD,Achat,357.26
8/2/2022,CAD,Achat,26113.50
8/2/2022,CAD,Achat,5289.28
8/2/2022,CAD,Achat,6.68
8/3/2022,CAD,Achat,24111.50
8/3/2022,CAD,Achat,6031.54
8/3/2022,CAD,Achat,149.01
8/4/2022,CAD,Achat,21339.50
8/4/2022,CAD,Achat,49370.62
8/5/2022,CAD,Achat,17867.50
8/5/2022,CAD,Achat,7196.22
8/5/2022,CAD,Achat,2.18
8/8/2022,CAD,Achat,14357.00
8/8/2022,CAD,Achat,46815.56
8/8/2022,CAD,Achat,999.73
8/9/2022,CAD,Achat,5439.00
8/9/2022,CAD,Achat,4838.71
8/9/2022,CAD,Achat,149.49
8/10/2022,CAD,Achat,8743.00
8/10/2022,CAD,Achat,75933.47
8/10/2022,CAD,Achat,621.07
8/11/2022,CAD,Achat,14539.00
8/11/2022,CAD,Achat,1825.52
8/11/2022,CAD,Achat,418.55
8/12/2022,CAD,Achat,28332.50
8/12/2022,CAD,Achat,18231.75
8/12/2022,CAD,Achat,216.90
8/15/2022,CAD,Achat,19715.50
8/15/2022,CAD,Achat,12698.78
8/15/2022,CAD,Achat,264.32
8/16/2022,CAD,Achat,28507.50
8/16/2022,CAD,Achat,18689.87
8/16/2022,CAD,Achat,124.99
8/17/2022,CAD,Achat,22529.50
8/17/2022,CAD,Achat,22792.20
8/17/2022,CAD,Achat,165.22
8/18/2022,CAD,Achat,15218.00
8/18/2022,CAD,Achat,6209.89
8/19/2022,CAD,Achat,14098.00
8/19/2022,CAD,Achat,9445.81
8/19/2022,CAD,Achat,219.84
8/22/2022,CAD,Achat,18473.00
8/22/2022,CAD,Achat,8356.26
8/22/2022,CAD,Achat,116.60
8/23/2022,CAD,Achat,28602.00
8/23/2022,CAD,Achat,4711.29
8/23/2022,CAD,Achat,225.55
8/24/2022,CAD,Achat,8568.00
8/24/2022,CAD,Achat,44174.57
8/24/2022,CAD,Achat,109.30
8/25/2022,CAD,Achat,6618.50
8/25/2022,CAD,Achat,13682.12
8/25/2022,CAD,Achat,327.75
8/26/2022,CAD,Achat,14294.00
8/26/2022,CAD,Achat,4910.93
8/26/2022,CAD,Achat,58.81
8/29/2022,CAD,Achat,9446.50
8/29/2022,CAD,Achat,20553.81
8/29/2022,CAD,Achat,260.41
8/30/2022,CAD,Achat,14794.50
8/30/2022,CAD,Achat,38505.10
8/30/2022,CAD,Achat,325.38
8/31/2022,CAD,Achat,6653.50
8/31/2022,CAD,Achat,26749.86
8/31/2022,CAD,Achat,210.66
9/1/2022,CAD,Achat,4770.50
9/1/2022,CAD,Achat,45795.20
9/1/2022,CAD,Achat,55.13
9/2/2022,CAD,Achat,7871.50
9/2/2022,CAD,Achat,14194.91
9/2/2022,CAD,Achat,45.28
9/5/2022,CAD,Achat,12029.50
9/5/2022,CAD,Achat,31348.50
9/5/2022,CAD,Achat,186.85
9/6/2022,CAD,Achat,3087.00
9/6/2022,CAD,Achat,18094.29
9/6/2022,CAD,Achat,239.26
9/7/2022,CAD,Achat,7808.50
9/7/2022,CAD,Achat,28159.48
9/7/2022,CAD,Achat,89.73
9/8/2022,CAD,Achat,7357.00
9/8/2022,CAD,Achat,23749.07
9/8/2022,CAD,Achat,66.28
9/9/2022,CAD,Achat,6926.50
9/9/2022,CAD,Achat,14039.34
9/9/2022,CAD,Achat,146.72
9/12/2022,CAD,Achat,11193.00
9/12/2022,CAD,Achat,31650.93
9/12/2022,CAD,Achat,115.70
9/13/2022,CAD,Achat,4949.00
9/13/2022,CAD,Achat,9232.48
9/13/2022,CAD,Achat,507.93
9/14/2022,CAD,Achat,40558.00
9/14/2022,CAD,Achat,5936.60
9/14/2022,CAD,Achat,67.76
9/15/2022,CAD,Achat,3391.50
9/15/2022,CAD,Achat,5103.66
9/15/2022,CAD,Achat,271.37
9/16/2022,CAD,Achat,2943.50
9/16/2022,CAD,Achat,16440.48
9/16/2022,CAD,Achat,124.85
9/19/2022,CAD,Achat,8435.00
9/19/2022,CAD,Achat,17393.31
9/19/2022,CAD,Achat,99.59
9/20/2022,CAD,Achat,2131.50
9/20/2022,CAD,Achat,11276.48
9/20/2022,CAD,Achat,353.11
9/21/2022,CAD,Achat,5974.50
9/21/2022,CAD,Achat,25151.76
9/21/2022,CAD,Achat,195.68
9/22/2022,CAD,Achat,3286.50
9/22/2022,CAD,Achat,15207.97
9/22/2022,CAD,Achat,164.77
9/23/2022,CAD,Achat,9222.50
9/23/2022,CAD,Achat,30017.23
9/23/2022,CAD,Achat,91.49
9/26/2022,CAD,Achat,11448.50
9/26/2022,CAD,Achat,11552.07
1/11/2022,CHF,Achat,27811.00
1/12/2022,CHF,Achat,91544.99
1/13/2022,CHF,Achat,643.91
2/26/2022,CHF,Achat,6697.68
2/27/2022,CHF,Achat,10276.00
2/28/2022,CHF,Achat,653.07
1/5/2022,CHF,Achat,4569.29
1/5/2022,CHF,Achat,87.00
1/5/2022,CHF,Achat,22820.00
